date;transactions
20190601;12945
20190602;13354
20190603;22882
20190604;23349
20190605;22454
20190606;21595
20190607;18499
20190608;12967
20190609;12274
20190610;22564
20190611;21244
20190612;14913
20190613;21851
20190614;17866
20190615;9527
20190616;8913
20190617;20183
20190618;22254
20190619;20668
20190620;19844
20190621;17690
20190622;10945
20190623;11240
20190624;20680
20190625;21058
20190626;21859
20190627;20386
20190628;17379
20190629;12267
20190630;11873
20190701;21556
20190702;22571
20190703;21935
20190704;21999
20190705;21495
20190706;12684
20190707;11833
20190708;24607
20190709;24951
20190710;24296
20190711;22817
20190712;19965
20190713;11873
20190714;10933
20190715;22738
20190716;22921
20190717;22834
20190718;21925
20190719;20715
20190720;12458
20190721;12329
20190722;25079
20190723;24565
20190724;24104
20190725;23133
20190726;21439
20190727;12952
20190728;11509
20190729;25061
20190730;24318
20190731;23553
20190801;22232
20190802;20652
20190803;12484
20190804;11802
20190805;22939
20190806;23863
20190807;22819
20190808;22289
20190809;19918
20190810;12703
20190811;11637
20190812;23960
20190813;23545
20190814;22425
20190815;21929
20190816;20944
20190817;13827
20190818;12701
20190819;22762
20190820;26752
20190821;24621
20190822;21960
20190823;21212
20190824;13454
20190825;12827
20190826;22543
20190827;22177
20190828;23562
20190829;22629
20190830;20746
20190831;13916
20190901;12668
20190902;21056
20190903;23022
20190904;22992
20190905;21909
20190906;19975
20190907;12454
20190908;12138
20190909;23878
20190910;24215
20190911;23788
20190912;22906
20190913;20272
20190914;12773
20190915;11871
20190916;21784
20190917;22268
20190918;22176
20190919;24499
20190920;21722
20190921;13373
20190922;12052
20190923;25937
20190924;24353
20190925;23243
20190926;21371
20190927;19631
20190928;12826
20190929;11849
20190930;22222
20191001;23505
20191002;23476
20191003;22699
20191004;20813
20191005;13229
20191006;12570
20191007;22687
20191008;23540
20191009;23999
20191010;23145
20191011;21162
20191012;14064
20191013;13259
20191014;24000
20191015;24402
20191016;26513
20191017;26176
20191018;22182
20191019;13883
20191020;13366
20191021;28057
20191022;28603
20191023;30680
20191024;25873
20191025;25219
20191026;15763
20191027;15287
20191028;25009
20191029;26216
20191030;24305
20191031;22633
20191101;20335
20191102;13655
20191103;12215
20191104;15300
20191105;24206
20191106;23915
20191107;22945
20191108;21250
20191109;13813
20191110;12570
20191111;24821
20191112;29703
20191113;29990
20191114;29226
20191115;29056
20191116;17257
20191117;16275
20191118;28028
20191119;29534
20191120;29764
20191121;29298
20191122;24748
20191123;16786
20191124;14962
20191125;26933
20191126;27640
20191127;28473
20191128;27981
20191129;26029
20191130;18557
20191201;17929
20191202;31429
20191203;31607
20191204;33069
20191205;32987
20191206;29103
20191207;21275
20191208;19767
20191209;36038
20191210;39707
20191211;38633
20191212;30910
20191213;27634
20191214;19323
20191215;17948
20191216;34539
20191217;36206
20191218;38398
20191219;43696
20191220;35924
20191221;23719
20191222;20962
20191223;33142
20191224;31764
20191225;34600
20191226;28863
20191227;24196
20191228;17291
20191229;14750
20191230;16554
20191231;6313
20200101;5091
20200102;9349
20200103;12104
20200104;14029
20200105;13453
20200106;15086
20200107;12957
20200108;17896
20200109;26600
20200110;31841
20200111;19871
20200112;17300
20200113;28170
20200114;26960
20200115;26410
20200116;25185
20200117;24629
20200118;17069
20200119;17791
20200120;28535
20200121;27920
20200122;34642
20200123;28998
20200124;25587
20200125;17318
20200126;15542
20200127;27493
20200128;27092
20200129;27257
20200130;27872
20200131;25666
20200201;16649
20200202;15790
20200203;29043
20200204;29154
20200205;29087
20200206;29747
20200207;25661
20200208;17768
20200209;17335
20200210;29513
20200211;29572
20200212;29617
20200213;30777
20200214;26292
20200215;17889
20200216;17751
20200217;31186
20200218;33107
20200219;31336
20200220;27981
20200221;27542
20200222;18258
20200223;13420
20200224;20155
20200225;31318
20200226;32225
20200227;30784
20200228;28828
20200229;19679
20200301;17816
20200302;30807
20200303;31668
20200304;29399
20200305;27357
20200306;24100
20200307;16312
20200308;10816
20200309;16986
20200310;32508
20200311;32324
20200312;31956
20200313;28429
20200314;20124
20200315;18695
20200316;31516
20200317;30839
20200318;27908
20200319;30546
20200320;28548
20200321;20219
20200322;18499
20200323;31847
20200324;33682
20200325;33672
20200326;32030
20200327;29600
20200328;18569
20200329;16591
20200330;25549
20200331;26232
